term,polarity,language
胸騒ぎ,negative,ja
脅迫,negative,ja
脅迫電話,negative,ja
驚怖,negative,ja
凝滞,negative,ja
業,negative,ja
業苦,negative,ja
業病,negative,ja
極悪,negative,ja
極寒,negative,ja
極刑,negative,ja
極端,negative,ja
極論,negative,ja
玉にきず,negative,ja
玉砕,negative,ja
僅か,negative,ja
禁忌,negative,ja
禁固,negative,ja
禁固刑,negative,ja
禁制,negative,ja
禁断症状,negative,ja
禁物,negative,ja
筋腫,negative,ja
筋肉痛,negative,ja
筋肉疲労,negative,ja
緊急,negative,ja
緊急事態,negative,ja
緊急性,negative,ja
緊張,negative,ja
緊迫,negative,ja
緊縛,negative,ja
菌,negative,ja
謹慎,negative,ja
謹慎処分,negative,ja
近視,negative,ja
近所迷惑,negative,ja
金額,negative,ja
金詰まり,negative,ja
金欠,negative,ja
金庫破り,negative,ja
金食い虫,negative,ja
金切り声,negative,ja
金属アレルギー,negative,ja
金融危機,negative,ja
金融不安,negative,ja
銀行強盗,negative,ja
苦,negative,ja
苦さ,negative,ja
苦しさ,negative,ja
苦しみ,negative,ja
苦み,negative,ja
苦境,negative,ja
苦行,negative,ja
苦手,negative,ja
苦汁,negative,ja
苦渋,negative,ja
苦笑,negative,ja
苦笑い,negative,ja
苦情,negative,ja
苦心,negative,ja
苦節,negative,ja
苦戦,negative,ja
苦虫,negative,ja
苦衷,negative,ja
苦痛,negative,ja
苦闘,negative,ja
苦難,negative,ja
苦悩,negative,ja
苦杯,negative,ja
苦味,negative,ja
苦悶,negative,ja
苦役,negative,ja
苦労,negative,ja
愚,negative,ja
愚かさ,negative,ja
愚挙,negative,ja
愚見,negative,ja
愚行,negative,ja
愚作,negative,ja
愚痴,negative,ja
愚問,negative,ja
虞,negative,ja
虞犯,negative,ja
空き巣,negative,ja
空き巣ねらい,negative,ja
空しさ,negative,ja
空っけつ,negative,ja
空下手,negative,ja
空虚,negative,ja
空隙,negative,ja
空言,negative,ja
空襲,negative,ja
空笑い,negative,ja
空振り,negative,ja
空中楼閣,negative,ja
空転,negative,ja
空洞化,negative,ja
空念仏,negative,ja
空売り,negative,ja
空費,negative,ja
空腹,negative,ja
空腹感,negative,ja
空名,negative,ja
屑,negative,ja
屈辱,negative,ja
屈辱感,negative,ja
屈託,negative,ja
群盗,negative,ja
軍事攻撃,negative,ja
軍費,negative,ja
係争,negative,ja
傾国,negative,ja
刑,negative,ja
刑事事件,negative,ja
刑事罰,negative,ja
刑罰,negative,ja
刑務,negative,ja
刑務所,negative,ja
珪肺,negative,ja
型破り,negative,ja
形式,negative,ja
景気後退,negative,ja
経営危機,negative,ja
経営難,negative,ja
経営破綻,negative,ja
経験不足,negative,ja
経済危機,negative,ja
経済制裁,negative,ja
経済的損失,negative,ja
経済不況,negative,ja
経済封鎖,negative,ja
経費,negative,ja
荊棘,negative,ja
警戒,negative,ja
警戒心,negative,ja
警告音,negative,ja
警鐘,negative,ja
警笛,negative,ja
軽傷,negative,ja
軽症,negative,ja
軽信,negative,ja
軽薄,negative,ja
軽犯罪,negative,ja
軽率,negative,ja
劇痛,negative,ja
撃墜,negative,ja
激震,negative,ja
激痛,negative,ja
激痛・劇痛,negative,ja
激怒,negative,ja
激動,negative,ja
激務,negative,ja
隙,negative,ja
隙間風,negative,ja
欠,negative,ja
欠課,negative,ja
欠格,negative,ja
欠陥,negative,ja
欠航,negative,ja
欠講,negative,ja
欠場,negative,ja
欠席,negative,ja
欠損,negative,ja
欠点,negative,ja
欠如,negative,ja
欠品,negative,ja
欠乏,negative,ja
欠落,negative,ja
欠礼,negative,ja
決定力不足,negative,ja
決闘,negative,ja
結核,negative,ja
結核患者,negative,ja
結核菌,negative,ja
結石,negative,ja
結膜炎,negative,ja
血しぶき,negative,ja
血だらけ,negative,ja
血の道,negative,ja
血まみれ,negative,ja
血行障害,negative,ja
血行不良,negative,ja
血祭り,negative,ja
血栓,negative,ja
血栓症,negative,ja
血糖,negative,ja
血糖値,negative,ja
血反吐,negative,ja
血目,negative,ja
血友病,negative,ja
血痰,negative,ja
月経痛,negative,ja
月曜病,negative,ja
倦怠,negative,ja
倦怠感,negative,ja
健康障害,negative,ja
健康被害,negative,ja
健康問題,negative,ja
健忘症,negative,ja
剣戟,negative,ja
喧嘩,negative,ja
喧騒・喧噪,negative,ja
喧噪,negative,ja
嫌,negative,ja
嫌い,negative,ja
嫌がらせ,negative,ja
嫌悪,negative,ja
嫌悪感,negative,ja
嫌煙,negative,ja
嫌忌,negative,ja
嫌気,negative,ja
嫌疑,negative,ja
嫌味,negative,ja
懸濁,negative,ja
懸念,negative,ja
検挙,negative,ja
権利侵害,negative,ja
権力争い,negative,ja
権力闘争,negative,ja
牽制,negative,ja
肩こり,negative,ja
肩凝り,negative,ja
肩透かし,negative,ja
見え見え,negative,ja
見せしめ,negative,ja
見掛け倒し,negative,ja
見当違い,negative,ja
見劣り,negative,ja
険,negative,ja
険しさ,negative,ja
原因,negative,ja
原罪,negative,ja
原爆症,negative,ja
原爆投下,negative,ja
厳しさ,negative,ja
厳格,negative,ja
厳寒,negative,ja
厳禁,negative,ja
厳刑,negative,ja
厳罰,negative,ja
幻影,negative,ja
幻覚,negative,ja
幻聴,negative,ja
幻滅,negative,ja
減価,negative,ja
減収,negative,ja
減衰,negative,ja
減退,negative,ja
減点,negative,ja
現行犯,negative,ja
現代病,negative,ja
言いなり,negative,ja
言い過ぎ,negative,ja
言い争い,negative,ja
言い訳,negative,ja
言い立て,negative,ja
言語障害,negative,ja
言動,negative,ja
言葉足らず,negative,ja
限界,negative,ja
限度,negative,ja
古臭さ,negative,ja
古拙,negative,ja
呼吸器疾患,negative,ja
呼吸器病,negative,ja
呼吸停止,negative,ja
呼吸不全,negative,ja
固持,negative,ja
固執,negative,ja
固定観念,negative,ja
孤軍奮闘,negative,ja
孤独,negative,ja
孤独感,negative,ja
孤立,negative,ja
孤立化,negative,ja
孤立感,negative,ja
戸惑い,negative,ja
故障,negative,ja
故人,negative,ja
枯死,negative,ja
狐,negative,ja
狐疑,negative,ja
糊塗,negative,ja
胡散臭さ,negative,ja
虎口の難,negative,ja
誇大妄想,negative,ja
誇張,negative,ja
雇用不安,negative,ja
五月病,negative,ja
後れ,negative,ja
後ろめたさ,negative,ja
後遺症,negative,ja
後回し,negative,ja
後悔,negative,ja
後継者不足,negative,ja
後顧,negative,ja
後顧の憂い,negative,ja
後手,negative,ja
後退,negative,ja
後知恵,negative,ja
後難,negative,ja
後腐れ,negative,ja
御難,negative,ja
御免,negative,ja
語弊,negative,ja
誤り,negative,ja
誤解,negative,ja
誤記,negative,ja
誤差,negative,ja
誤算,negative,ja
誤字,negative,ja
誤字脱字,negative,ja
誤植,negative,ja
誤信,negative,ja
誤審,negative,ja
誤断,negative,ja
誤認,negative,ja
誤爆,negative,ja
誤謬,negative,ja
誤報,negative,ja
誤訳,negative,ja
誤用,negative,ja
護摩の灰,negative,ja
乞食,negative,ja
交通混雑,negative,ja
交通死亡事故,negative,ja
交通事故,negative,ja
交通渋滞,negative,ja
交通戦争,negative,ja
交通麻痺,negative,ja
光化学スモッグ,negative,ja
光害,negative,ja
光熱費,negative,ja
公害,negative,ja
公害問題,negative,ja
公傷,negative,ja
口げんか,negative,ja
口喧嘩,negative,ja
口呼吸,negative,ja
口臭,negative,ja
口蹄疫,negative,ja
口内炎,negative,ja
口癖,negative,ja
口論,negative,ja
向こう意気,negative,ja
垢,negative,ja
好き嫌い,negative,ja
好き勝手,negative,ja
好き放題,negative,ja
慌ただしさ,negative,ja
抗議,negative,ja
抗戦,negative,ja
抗争,negative,ja
拘束,negative,ja
拘泥,negative,ja
拘留,negative,ja
控訴,negative,ja
攻勢,negative,ja
更迭,negative,ja
更年期,negative,ja
更年期障害,negative,ja
洪水,negative,ja
硬直,negative,ja
稿,negative,ja
考え違い,negative,ja
航空機事故,negative,ja
荒々しさ,negative,ja
荒さ,negative,ja
荒れ野,negative,ja
荒仕事,negative,ja
荒唐無稽,negative,ja
荒波,negative,ja
荒廃,negative,ja
荒蕪,negative,ja
行き過ぎ,negative,ja
行き詰まり,negative,ja
行き悩み,negative,ja
行刑,negative,ja
行方不明者,negative,ja
行旅病者,negative,ja
行路病者,negative,ja
降灰,negative,ja
降格,negative,ja
降板,negative,ja
高血圧,negative,ja
高血圧症,negative,ja
高山病,negative,ja
高脂血症,negative,ja
高騰,negative,ja
高熱,negative,ja
合併症,negative,ja
拷問,negative,ja
克己,negative,ja
告発,negative,ja
国家主権,negative,ja
国外追放,negative,ja
国禁,negative,ja
国事犯,negative,ja
国難,negative,ja
酷寒,negative,ja
酷刑,negative,ja
酷使,negative,ja
酷暑,negative,ja
酷評,negative,ja
黒ずみ,negative,ja
黒煙,negative,ja
黒星,negative,ja
黒内障,negative,ja
黒変,negative,ja
黒幕,negative,ja
獄,negative,ja
獄中,negative,ja
腰痛,negative,ja
骨,negative,ja
骨惜しみ,negative,ja
骨折,negative,ja
骨粗鬆症,negative,ja
骨肉の争い,negative,ja
困却,negative,ja
困窮,negative,ja
困苦,negative,ja
困難,negative,ja
困難さ,negative,ja
困難性,negative,ja
困惑,negative,ja
困憊,negative,ja
恨,negative,ja
恨み,negative,ja
恨みっこ,negative,ja
恨みつらみ,negative,ja
恨めしさ,negative,ja
恨事,negative,ja
懇願,negative,ja
昏倒,negative,ja
根なし,negative,ja
根腐れ,negative,ja
根本原因,negative,ja
混じり気,negative,ja
混雑,negative,ja
混信,negative,ja
混戦,negative,ja
混濁,negative,ja
混沌,negative,ja
混入,negative,ja
混乱,negative,ja
些事,negative,ja
左利き,negative,ja
差,negative,ja
差し込み,negative,ja
差し支え,negative,ja
差し障り,negative,ja
差し戻し,negative,ja
差押,negative,ja
差別,negative,ja
差別意識,negative,ja
詐欺,negative,ja
鎖国,negative,ja
坐骨神経痛,negative,ja
座礁,negative,ja
挫折,negative,ja
挫折感,negative,ja
債券,negative,ja
債権,negative,ja
債権放棄,negative,ja
債務,negative,ja
債務超過,negative,ja
再生不良性貧血,negative,ja
再発,negative,ja
再発率,negative,ja
再犯,negative,ja
最悪,negative,ja
最期,negative,ja
最小限,negative,ja
最低,negative,ja
災,negative,ja
災い,negative,ja
災禍,negative,ja
災害,negative,ja
災難,negative,ja
災厄,negative,ja
細菌,negative,ja
細菌感染,negative,ja
細事,negative,ja
在庫切れ,negative,ja
罪,negative,ja
罪悪,negative,ja
罪悪感,negative,ja
罪科,negative,ja
罪過,negative,ja
罪業,negative,ja
罪障,negative,ja
罪状,negative,ja
罪深さ,negative,ja
財産刑,negative,ja
財政危機,negative,ja
財政赤字,negative,ja
財政難,negative,ja
阪神淡路大震災,negative,ja
作り事,negative,ja
作り笑い,negative,ja
作り声,negative,ja
作り話,negative,ja
作為,negative,ja
搾取,negative,ja
錯誤,negative,ja
擦り傷,negative,ja
擦過傷,negative,ja
殺し,negative,ja
殺意,negative,ja
殺害,negative,ja
殺気,negative,ja
殺人,negative,ja
殺人鬼,negative,ja
殺人罪,negative,ja
殺人事件,negative,ja
殺人未遂,negative,ja
殺人容疑,negative,ja
殺生,negative,ja
殺風景,negative,ja
殺戮,negative,ja
雑音,negative,ja
雑菌,negative,ja
雑言,negative,ja
雑事,negative,ja
雑念,negative,ja
雑報,negative,ja
雑務,negative,ja
雑役,negative,ja
雑用,negative,ja
錆,negative,ja
三すくみ,negative,ja
三悪道,negative,ja
三振,negative,ja
三流,negative,ja
山火事,negative,ja
山気,negative,ja
山賊,negative,ja
惨め,negative,ja
惨禍,negative,ja
惨害,negative,ja
惨苦,negative,ja
惨劇,negative,ja
惨事,negative,ja
惨状,negative,ja
惨敗,negative,ja
惨落,negative,ja
散逸,negative,ja
散財,negative,ja
散散,negative,ja
散漫,negative,ja
散乱,negative,ja
産みの苦しみ,negative,ja
産業廃棄物,negative,ja
酸,negative,ja
酸欠,negative,ja
酸欠状態,negative,ja
酸性雨,negative,ja
酸素不足,negative,ja
斬撃,negative,ja
残虐,negative,ja
残虐行為,negative,ja
残酷,negative,ja
残酷さ,negative,ja
残暑,negative,ja
残敵,negative,ja
残党,negative,ja
残念,negative,ja
仕打ち,negative,ja
仕置き,negative,ja
仕返し,negative,ja
使いすぎ,negative,ja
使役,negative,ja
使用感,negative,ja
使用制限,negative,ja
使用料,negative,ja
刺客,negative,ja
刺傷,negative,ja
四苦八苦,negative,ja
始末,negative,ja
始末書,negative,ja
子宮筋腫,negative,ja
子宮内膜症,negative,ja
子供っぽさ,negative,ja
屍,negative,ja
市街戦,negative,ja
志なかば,negative,ja
思い違い,negative,ja
思い過ごし,negative,ja
思い込み,negative,ja
思案投げ首,negative,ja
指しゃぶり,negative,ja
指摘,negative,ja
支出,negative,ja
支障,negative,ja
支配,negative,ja
支離滅裂,negative,ja
枝毛,negative,ja
枝葉末節,negative,ja
死,negative,ja
死に場所,negative,ja
死に神,negative,ja
死に体,negative,ja
死骸,negative,ja
死角,negative,ja
死期,negative,ja
死球,negative,ja
死去,negative,ja
死刑,negative,ja
死刑判決,negative,ja
死語,negative,ja
死罪,negative,ja
死産,negative,ja
死者,negative,ja
死出の旅,negative,ja
死傷者,negative,ja
死人,negative,ja
死線,negative,ja
死相,negative,ja
死体,negative,ja
死地,negative,ja
死闘,negative,ja
死病,negative,ja
死亡,negative,ja
死亡者,negative,ja
死没,negative,ja
死魔,negative,ja
死滅,negative,ja
死霊,negative,ja
私怨,negative,ja
私曲,negative,ja
私恨,negative,ja
私傷,negative,ja
私情,negative,ja
紙詰まり,negative,ja
紫班病,negative,ja
脂肪,negative,ja
脂肪肝,negative,ja
至難の業,negative,ja
視覚障害,negative,ja
視線,negative,ja
視野狭窄,negative,ja
視力障害,negative,ja
視力低下,negative,ja
試験,negative,ja
資金繰り,negative,ja
資金難,negative,ja
資金不足,negative,ja
雌伏,negative,ja
歯がゆさ,negative,ja
歯ぎしり,negative,ja
歯垢,negative,ja
歯周病,negative,ja
歯石,negative,ja
歯槽膿漏,negative,ja
歯痛,negative,ja
歯肉炎,negative,ja
事件,negative,ja
事件事故,negative,ja
事故,negative,ja
事故死,negative,ja
事故等,negative,ja
事故発生,negative,ja
事後承諾,negative,ja
事実誤認,negative,ja
事実無根,negative,ja
事態,negative,ja
事犯,negative,ja
事変,negative,ja
似非,negative,ja
児童ポルノ,negative,ja
児童虐待,negative,ja
児童買春,negative,ja
持ち逃げ,negative,ja
持病,negative,ja
時間不足,negative,ja
時効,negative,ja
時差,negative,ja
時差ぼけ,negative,ja
時差ボケ,negative,ja
時代錯誤,negative,ja
時代遅れ,negative,ja
次男,negative,ja
痔,negative,ja
痔核,negative,ja
痔瘻,negative,ja
耳下腺炎,negative,ja
耳障り,negative,ja
耳鳴り,negative,ja
自家中毒,negative,ja
自棄,negative,ja
自虐,negative,ja
自虐史観,negative,ja
自業自得,negative,ja
自己犠牲,negative,ja
自己嫌悪,negative,ja
自己矛盾,negative,ja
自己免疫疾患,negative,ja
自作自演,negative,ja
自殺,negative,ja
自殺者,negative,ja
自殺点,negative,ja
自主回収,negative,ja
自粛,negative,ja
自然災害,negative,ja
自然破壊,negative,ja
自損,negative,ja
自堕落,negative,ja
自動車事故,negative,ja
自爆,negative,ja
自爆テロ,negative,ja
自爆攻撃,negative,ja
自分勝手,negative,ja
自閉症,negative,ja
自暴自棄,negative,ja
自由刑,negative,ja
自律神経失調症,negative,ja
辞意,negative,ja
七難,negative,ja
七難八苦,negative,ja
七面倒,negative,ja
叱声,negative,ja
叱責,negative,ja
叱咤,negative,ja
執心,negative,ja
執着,negative,ja
執念,negative,ja
執拗,negative,ja
失意,negative,ja
失格,negative,ja
失脚,negative,ja
失業,negative,ja
失業者,negative,ja
失敬,negative,ja
失血,negative,ja
失言,negative,ja
失語症,negative,ja
失効,negative,ja
失策,negative,ja
失笑,negative,ja
失心,negative,ja
失神,negative,ja
失神・失心,negative,ja
失政,negative,ja
失速,negative,ja
失態,negative,ja
失着,negative,ja
失調,negative,ja
失点,negative,ja
失投,negative,ja
失当,negative,ja
失敗,negative,ja
失望,negative,ja
失望感,negative,ja
失明,negative,ja
失礼,negative,ja
失恋,negative,ja
嫉視,negative,ja
嫉妬,negative,ja
湿疹,negative,ja
疾患,negative,ja
疾病,negative,ja
質問攻め,negative,ja
実害,negative,ja
実刑,negative,ja
実損,negative,ja
捨て鉢,negative,ja
社会的弱者,negative,ja
社会不安,negative,ja
車上荒らし,negative,ja
車酔い,negative,ja
遮断,negative,ja
蛇行,negative,ja
邪,negative,ja
邪悪,negative,ja
邪気,negative,ja
邪鬼,negative,ja
邪曲,negative,ja
邪見,negative,ja
邪推,negative,ja
邪知,negative,ja
邪念,negative,ja
邪魔,negative,ja
邪魔者,negative,ja
邪魔物,negative,ja
邪魔物・邪魔者,negative,ja
邪魔立て,negative,ja
邪欲,negative,ja
邪恋,negative,ja
借り,negative,ja
借金,negative,ja
借財,negative,ja
若気の過ち,negative,ja
若気の至り,negative,ja
若葉マーク,negative,ja
寂,negative,ja
寂しさ,negative,ja
寂声,negative,ja
寂滅,negative,ja
寂寥,negative,ja
寂寥感,negative,ja
弱,negative,ja
弱さ,negative,ja
弱み,negative,ja
弱音,negative,ja
弱化,negative,ja
弱気,negative,ja
弱腰,negative,ja
弱者,negative,ja
弱小,negative,ja
弱体,negative,ja
弱敵,negative,ja
弱点,negative,ja
主罪,negative,ja
主従,negative,ja
主導権争い,negative,ja
取りこぼし,negative,ja
取り越し苦労,negative,ja
取り消し,negative,ja
取引,negative,ja
取消,negative,ja
手ブレ,negative,ja
手違い,negative,ja
手一杯,negative,ja
手間,negative,ja
手詰まり,negative,ja
手口,negative,ja
手向かい,negative,ja
手込め,negative,ja
手術,negative,ja
手錠,negative,ja
手数,negative,ja
手数料,negative,ja
手前勝手,negative,ja
手足口病,negative,ja
手遅れ,negative,ja
手刀,negative,ja
手抜かり,negative,ja
手抜き,negative,ja
手不足,negative,ja
手癖,negative,ja
手落ち,negative,ja
種切れ,negative,ja
腫,negative,ja
腫れ,negative,ja
腫れ物,negative,ja
腫脹,negative,ja
腫物,negative,ja
腫瘍,negative,ja
酒飲み,negative,ja
酒気,negative,ja
酒色,negative,ja
酒癖,negative,ja
酒乱,negative,ja
首吊り,negative,ja
受験競争,negative,ja
受験戦争,negative,ja
受動喫煙,negative,ja
受難,negative,ja
呪,negative,ja
呪い,negative,ja
呪術,negative,ja
呪縛,negative,ja
呪詛,negative,ja
樹海,negative,ja
囚人,negative,ja
収容所,negative,ja
就職難,negative,ja
修正箇所,negative,ja
修正点,negative,ja
修羅,negative,ja
修羅場,negative,ja
愁い,negative,ja
愁い・愁え,negative,ja
愁え,negative,ja
愁傷,negative,ja
愁訴,negative,ja
愁嘆,negative,ja
愁悲,negative,ja
秋気,negative,ja
終焉,negative,ja
臭さ,negative,ja
臭気,negative,ja
臭味,negative,ja
襲撃,negative,ja
集団感染,negative,ja
集中砲火,negative,ja
醜,negative,ja
醜さ,negative,ja
醜悪,negative,ja
醜行,negative,ja
醜女,negative,ja
醜態,negative,ja
醜聞,negative,ja
醜名,negative,ja
住宅ローン,negative,ja
住宅難,negative,ja
充血,negative,ja
十二指腸潰瘍,negative,ja
柔,negative,ja
渋み,negative,ja
渋滞,negative,ja
獣,negative,ja
獣欲,negative,ja
縦割り,negative,ja
縦割り行政,negative,ja
重し,negative,ja
重圧,negative,ja
重荷,negative,ja
重過失,negative,ja
重患,negative,ja
重苦しさ,negative,ja
重刑,negative,ja
重罪,negative,ja
重傷,negative,ja
重症,negative,ja
重症化,negative,ja
重症急性呼吸器症候群,negative,ja
重税,negative,ja
重体,negative,ja
重態,negative,ja
重態・重体,negative,ja
重大事件,negative,ja
重大事故,negative,ja
重度,negative,ja
重篤,negative,ja
重罰,negative,ja
重犯,negative,ja
重病,negative,ja
重複,negative,ja
重労働,negative,ja
銃撃,negative,ja
銃撃戦,negative,ja
宿怨,negative,ja
宿題,negative,ja
宿敵,negative,ja
宿便,negative,ja
粛正,negative,ja
粛清,negative,ja
出っ歯,negative,ja
出過ぎ,negative,ja
出血多量,negative,ja
出血量,negative,ja
出場停止,negative,ja
出水,negative,ja
出遅れ,negative,ja
出入り禁止,negative,ja
出費,negative,ja
出不精,negative,ja
出癖,negative,ja
出来過ぎ,negative,ja
出来損ない,negative,ja
出来物,negative,ja
春情,negative,ja
循環障害,negative,ja
殉教者,negative,ja
準備不足,negative,ja
処罰,negative,ja
処分,negative,ja
処理落ち,negative,ja
初学者,negative,ja
初感染,negative,ja
初犯,negative,ja
所払い,negative,ja
暑さ,negative,ja
書き込みエラー,negative,ja
助長,negative,ja
女性差別,negative,ja
女日照り,negative,ja
女癖,negative,ja
除名,negative,ja
傷,negative,ja
傷だらけ,negative,ja
傷み,negative,ja
傷害,negative,ja
傷害事件,negative,ja
傷害致死,negative,ja
傷口,negative,ja
傷痕,negative,ja
傷者,negative,ja
傷心,negative,ja
傷跡,negative,ja
傷病,negative,ja
傷病兵,negative,ja
勝手,negative,ja
勝手気まま,negative,ja
勝手次第,negative,ja
商業主義,negative,ja
将来不安,negative,ja
小じわ,negative,ja
小過,negative,ja
小競り合い,negative,ja
小径,negative,ja
小言,negative,ja
小細工,negative,ja
小事,negative,ja
小太り,negative,ja
小敵,negative,ja
小難,negative,ja
小物,negative,ja
小変,negative,ja
小味,negative,ja
少年犯罪,negative,ja
床ずれ,negative,ja
消化不良,negative,ja
消極,negative,ja
消失,negative,ja
消沈,negative,ja
消費者被害,negative,ja
消費電力,negative,ja
消耗,negative,ja
消耗戦,negative,ja
焼きもち,negative,ja
焼失,negative,ja
焦り,negative,ja
焦燥,negative,ja
焦燥感,negative,ja
焦眉の急,negative,ja
症,negative,ja
症候群,negative,ja
症例,negative,ja
衝撃,negative,ja
衝撃波,negative,ja
衝動,negative,ja
衝突,negative,ja
象皮病,negative,ja
障り,negative,ja
障害,negative,ja
障碍,negative,ja
障壁,negative,ja
乗り物酔い,negative,ja
冗談,negative,ja
場つなぎ,negative,ja
場違い,negative,ja
場所ふさぎ,negative,ja
場打て,negative,ja
常識外れ,negative,ja
情けなさ,negative,ja
情け知らず,negative,ja
情け無用,negative,ja
情緒障害,negative,ja
情痴,negative,ja
情報操作,negative,ja
情報不足,negative,ja
情報漏洩,negative,ja
情欲,negative,ja
擾乱,negative,ja
状態異常,negative,ja
蒸し暑さ,negative,ja
蒸し返し,negative,ja
植民地化,negative,ja
植民地支配,negative,ja
色覚異常,negative,ja
色情,negative,ja
色欲,negative,ja
色落ち,negative,ja
食い違い,negative,ja
食い過ぎ,negative,ja
食い合わせ,negative,ja
食い扶持,negative,ja
食い料,negative,ja
食べかす,negative,ja
食べすぎ,negative,ja
食べず嫌い,negative,ja
食べ過ぎ,negative,ja
食わず嫌い,negative,ja
食言,negative,ja
食傷,negative,ja
食中毒,negative,ja
食中毒事件,negative,ja
食当たり,negative,ja
食道がん,negative,ja
食欲不振,negative,ja
食料不足,negative,ja
食糧難,negative,ja
食糧不足,negative,ja
伸び悩み,negative,ja
信用不安,negative,ja
侵害,negative,ja
侵害行為,negative,ja
侵攻,negative,ja
侵食,negative,ja
侵入,negative,ja
侵入者,negative,ja
侵略,negative,ja
侵略行為,negative,ja
侵略戦争,negative,ja
寝たきり,negative,ja
寝たきり老人,negative,ja
寝ばれ,negative,ja
寝汗,negative,ja
寝言,negative,ja
寝不足,negative,ja
寝癖,negative,ja
寝坊,negative,ja
心気症,negative,ja
心筋梗塞,negative,ja
心懸かり,negative,ja
心細さ,negative,ja
心残り,negative,ja
心疾患,negative,ja
心神喪失,negative,ja
心神耗弱,negative,ja
心身症,negative,ja
心臓マヒ,negative,ja
心臓疾患,negative,ja
心臓発作,negative,ja
心臓病,negative,ja
心臓麻痺,negative,ja
心置き,negative,ja
心痛,negative,ja
心停止,negative,ja
心得違い,negative,ja
心配,negative,ja
心配事,negative,ja
心配性,negative,ja
心拍数,negative,ja
心肥大,negative,ja
心不全,negative,ja
心霊写真,negative,ja
心労,negative,ja
慎み,negative,ja
慎独,negative,ja
新患,negative,ja
新型肺炎,negative,ja
森林破壊,negative,ja
浸食,negative,ja
浸水,negative,ja
浸水被害,negative,ja
深刻,negative,ja
深刻化,negative,ja
深憂,negative,ja
神経過敏,negative,ja
神経質,negative,ja
神経症,negative,ja
神経症状,negative,ja
神経障害,negative,ja
神経衰弱,negative,ja
神経痛,negative,ja
神罰,negative,ja
身から出たさび,negative,ja
身の程,negative,ja
身勝手,negative,ja
身体症状,negative,ja
身体障害,negative,ja
身売り,negative,ja
辛苦,negative,ja
辛口,negative,ja
辛酸,negative,ja
辛労,negative,ja
辛労辛苦,negative,ja
針,negative,ja
針のむしろ,negative,ja
針小棒大,negative,ja
震え,negative,ja
震災,negative,ja
震撼,negative,ja
震駭,negative,ja
人おじ,negative,ja
人ごみ,negative,ja
人でなし,negative,ja
人員削減,negative,ja
人間嫌い,negative,ja
人嫌い,negative,ja
人権侵害,negative,ja
人権問題,negative,ja
人見知り,negative,ja
人口減少,negative,ja
人工妊娠中絶,negative,ja
人混み,negative,ja
人材不足,negative,ja
人事不省,negative,ja
人手不足,negative,ja
人種差別,negative,ja
人身事故,negative,ja
人的被害,negative,ja
人非人,negative,ja
人面獣心,negative,ja
人類滅亡,negative,ja
人恋しさ,negative,ja
刃こぼれ,negative,ja
刃向かい,negative,ja
刃傷ざた,negative,ja
塵,negative,ja
塵肺,negative,ja
腎炎,negative,ja
腎機能障害,negative,ja
腎臓病,negative,ja
腎不全,negative,ja
腎盂炎,negative,ja
陣痛,negative,ja
図星,negative,ja
吹き出もの,negative,ja
吹き出物,negative,ja
水ばれ,negative,ja
水アカ,negative,ja
水禍,negative,ja
水害,negative,ja
水垢,negative,ja
水子,negative,ja
水質汚染,negative,ja
水質汚濁,negative,ja
水腫,negative,ja
水虫,negative,ja
水痘,negative,ja
水頭症,negative,ja
水難,negative,ja
水難事故,negative,ja
水入り,negative,ja
水不足,negative,ja
水膨れ,negative,ja
水没,negative,ja
水俣病,negative,ja
水漏れ,negative,ja
水疱,negative,ja
水疱瘡,negative,ja
睡眠障害,negative,ja
睡眠不足,negative,ja
衰え,negative,ja
衰運,negative,ja
衰残,negative,ja
衰弱,negative,ja
衰退,negative,ja
衰微,negative,ja
衰亡,negative,ja
衰滅,negative,ja
髄膜炎,negative,ja
数奇,negative,ja
世界支配,negative,ja
世界戦争,negative,ja
世界大戦,negative,ja
世間知らず,negative,ja
世襲,negative,ja
世俗,negative,ja
凄さ,negative,ja
制圧,negative,ja
制裁,negative,ja
制止,negative,ja
制度疲労,negative,ja
制約,negative,ja
制約条件,negative,ja
勢力争い,negative,ja
性感染症,negative,ja
性差別,negative,ja
性的興奮,negative,ja
性同一性障害,negative,ja
性能低下,negative,ja
性犯罪,negative,ja
性病,negative,ja
性暴力,negative,ja
成人病,negative,ja
成敗,negative,ja
政治犯,negative,ja
政治不信,negative,ja
政治腐敗,negative,ja
政略結婚,negative,ja
星目,negative,ja
正当化,negative,ja
生み・産みの苦しみ,negative,ja
生みの苦しみ,negative,ja
生ゴミ,negative,ja
生意気,negative,ja
生育障害,negative,ja
生活苦,negative,ja
生活習慣病,negative,ja
生活難,negative,ja
生活排水,negative,ja
生殺し,negative,ja
生臭さ,negative,ja
生理痛,negative,ja
生理不順,negative,ja
生霊,negative,ja
精神汚染,negative,ja
精神疾患,negative,ja
精神障害,negative,ja
精神的ダメージ,negative,ja
精神的苦痛,negative,ja
精神的疲労,negative,ja
精神病,negative,ja
精神分裂症,negative,ja
精神分裂病,negative,ja
精神崩壊,negative,ja
西南戦争,negative,ja
逝去,negative,ja
青そこひ,negative,ja
青びょうたん,negative,ja
青鬼,negative,ja
青臭さ,negative,ja
青息,negative,ja
静脈瘤,negative,ja
税負担,negative,ja
